4
M
3 3
1 2 0
2 4 0
9 8 7
M
10 12
-0.578817174665236	1.15195969555778	-1.77490678286166	1.46767112550249	0.648305144049068	-0.850241546233911	-0.178503895299454	0.246058645413183	0.682574713533531	-0.511099687964879	-0.787916533267687	0.377395064531764
0.0564733171140393	0.858378863301215	0.205656538447336	1.13055399842330	1.05809227042019	-0.299551039013598	0.507725830227577	-0.0506114772978772	-1.08636761523444	-1.60683544726011	-0.344339740068678	0.991574357635391
-0.893322693369205	0.945576199340234	-0.346209908893838	0.0106531610485046	-0.633191387484819	-0.634248593240228	-0.309899118172596	-0.730150625300169	0.297492378480315	-0.201243021960019	0.647617091086291	0.603451884447947
1.12207787049126	1.50613043331793	-1.15898284412402	0.124333691635181	1.01798941829306	1.62447736292239	-0.394370246114765	0.326987125798262	-0.143308255589629	1.14350341027786	2.05412674418054	-0.792886121910164
0.775828768459737	0.295337944570782	0.335826335962241	1.77943113686421	0.171925674500957	1.24107013210744	-0.269738542331054	0.752990913282200	1.39195366021220	0.663291080888331	0.798941747030093	0.930818052620353
0.962495619346591	1.20409693529496	0.332243060488620	-0.239472269729911	-0.0474740884838270	0.555280542465301	-0.0881301721574661	-1.15372154650913	0.306747373328607	0.164084365770933	-1.07107746056965	-1.35038833449603
1.26078405724357	-0.0118458060848102	1.41120936103881	0.857992471728039	1.68914546929209	0.703417615515007	0.00802927442394316	-0.407867049778377	-0.537184201783269	1.78540550916262	-0.205155489295212	0.799789476485134
-0.107918515865253	0.789500353482527	0.136862924629905	-0.878354781299061	1.43704449250503	0.458163339087800	2.53179561500313	-1.28790643118115	-0.228932242650808	-0.587711477365292	-0.554443104900172	0.599637421442272
-0.577157547611514	-1.40358220546248	0.577628134058232	-0.761946019316487	-2.25107830229662	0.683983990193095	-1.22324305766679	0.0835776870827117	-0.536220402360493	0.259036307753291	-0.292943098717178	1.10042887873631
0.525632603734032	1.54210605249637	0.243087985961810	0.862782702526723	0.356489129614670	0.251289579561714	-1.07175060654708	0.163799300505320	1.43902127211766	-0.871833515477914	1.18023198111923	-1.41974182339825
M
30 30
-15	-4	-9	10	11	-1	12	-19	17	5	-1	6	-9	20	-11	-17	2	-2	7	1	-2	-7	-3	-10	-3	13	-10	3	-5	-19
-5	-2	-5	5	8	16	22	1	7	7	-4	11	3	4	-2	-18	-17	16	-4	-3	0	-7	0	15	11	-15	6	-1	3	-4
-2	-11	11	-5	-21	1	1	7	-16	-16	-14	-10	5	3	4	-18	7	20	15	-2	-11	3	6	-3	1	-1	-6	4	-27	1
6	-12	7	-17	-13	-5	2	-4	14	-2	21	-10	-5	-3	-3	0	-3	-1	-12	8	-1	-11	-7	-8	-12	-6	-10	-2	-4	-20
7	6	11	-6	-8	1	-20	10	10	-6	-2	4	2	-9	16	4	-7	-8	-4	-7	-22	-7	-11	13	4	9	-14	10	-11	13
6	1	-3	-12	-4	-7	14	-3	2	6	23	-2	-7	1	-5	6	-2	-1	-9	-7	-10	13	-3	-6	-10	-7	-14	-16	4	14
-15	13	1	4	-14	6	-7	2	24	11	-9	0	5	-4	-5	-11	3	-6	-7	30	-4	-4	-18	0	2	8	6	23	0	-1
-16	5	-19	-6	6	15	3	10	-5	11	-3	-9	-8	-16	16	-21	11	-8	-17	15	2	4	5	7	24	-8	-4	-3	-16	-4
13	-12	9	14	-6	10	-3	5	17	4	-14	-10	2	5	2	5	1	-20	11	10	2	-5	-11	2	-5	10	6	-13	-1	7
8	-23	-2	-2	-2	2	3	3	-12	-5	-9	4	3	-2	5	-1	-18	-16	0	9	12	-16	-16	-7	2	3	12	-12	-3	7
4	1	0	-16	-6	-14	-1	14	-4	-5	9	15	14	2	13	-1	8	-1	-2	-1	16	-5	0	-22	11	-12	-3	-1	5	-2
15	-3	10	0	-1	-7	1	-10	-12	-12	7	-4	-12	-6	-7	-5	-6	-7	0	-18	4	-6	4	-8	-11	-12	7	13	-7	-6
18	5	-3	7	13	4	-11	-5	5	11	-9	11	2	6	-2	-4	18	13	-8	-2	-9	2	-3	6	12	0	28	-10	-14	2
-8	9	4	-5	-19	-1	1	2	3	-9	1	13	-18	-6	8	19	6	-19	-4	7	5	-6	5	10	-5	-20	-4	4	-1	18
0	-3	-8	6	-10	13	-15	-4	-7	-20	-5	10	1	3	-8	-2	6	-10	8	6	12	10	7	2	8	9	4	-9	5	-15
4	1	-6	3	-5	6	-2	-6	-15	-9	8	15	7	6	2	5	-4	5	-1	16	11	-21	6	9	-6	14	-4	9	3	17
1	-8	5	3	5	-15	1	7	-27	14	-8	3	-11	-2	-12	-22	-9	4	5	12	1	3	-3	3	17	6	11	-6	6	-19
2	12	-3	-4	-11	6	-3	-6	-10	2	15	-17	-3	-10	5	-15	-8	-5	6	4	-15	-6	2	14	11	-12	-5	-8	-10	-9
1	0	-16	-2	-6	6	3	3	-15	-4	-16	-9	12	2	22	-8	-13	-11	10	-6	-13	9	-6	14	-7	2	-5	21	-9	5
10	-6	-6	-2	7	17	8	-2	6	2	2	-2	16	10	-2	1	-9	-24	-6	-3	-4	0	15	-6	18	22	6	2	-7	11
-28	-5	29	-2	-13	0	-16	-5	10	3	-16	-15	0	-22	-5	3	11	-5	-8	5	5	16	-8	0	-3	12	-1	13	6	-9
-1	18	4	-15	10	2	-15	4	-21	4	-8	-6	14	1	16	25	-6	4	3	-5	-6	-5	-12	6	8	5	-7	9	2	-2
-3	5	2	-1	3	-16	-7	2	-18	-2	-11	12	-2	1	-10	-18	-1	-2	-10	-5	-16	-4	-7	12	1	8	-22	2	3	-9
-5	4	-5	-12	5	-5	4	-20	-5	22	15	-8	-9	3	-4	-18	15	-14	11	14	13	4	-7	1	-1	13	-15	13	10	-16
1	3	-19	1	-1	-15	3	-4	9	10	-2	2	-2	-4	-1	-3	-5	9	-11	-2	-5	10	-13	-6	20	1	-6	-2	6	11
5	4	1	-12	-10	-2	-4	-11	12	-25	3	2	-18	3	6	-9	-3	7	10	-16	10	-13	-13	-1	-16	-2	7	5	-2	-5
-3	4	-31	13	-16	-8	5	1	14	-10	-15	18	-9	-6	-11	-11	6	-2	16	-22	4	-27	17	-14	-16	-3	6	-16	1	0
0	0	-10	8	1	-13	20	-8	-4	-1	-10	-3	-7	2	-10	9	1	0	-13	2	-14	-2	0	-6	8	1	5	-13	22	21
-17	17	-15	-6	7	-1	-11	-1	-7	4	3	6	13	11	3	-5	4	0	11	-5	0	2	-10	-9	-22	-3	10	7	14	3
-12	-3	-3	20	7	-9	-9	12	-11	-3	-2	-13	2	-1	-2	4	-4	1	5	-4	6	15	10	1	8	-8	-2	-4	-5	-1
M
50 50
-1	-1	0	0	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	0	-1	-1	0	0	0	0	-1	-1	0	-1	-1	-1	0	-1	0	-1	0	-1	-1	-1	0	-1	0	0	-1	-1	0	0	-1	-1	0	-1	-1
0	-1	0	-1	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-2	0	0	0	-1	-1	-1	0	-1	-1	0	0	1	0	0	0	-1	-1	-1	0	0	-1	-1	-1	-1	0	0	0	-2	1	0	-1	-1	0	-1
0	-1	0	-1	0	0	0	0	-1	-1	-1	-1	0	-1	-1	-1	0	0	0	-1	-1	-1	0	0	-1	0	-1	-2	0	0	0	0	0	-1	0	-1	-2	-1	0	0	-1	0	-1	0	0	-2	-1	1	-1	-1
0	0	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	-1	-2	-1	0	-1	-1	0	-1	-1	0	0	-1	-1	-1	0	-1	0	0	-1
0	-1	0	0	-1	-1	0	0	0	-1	-1	-1	0	-1	0	0	-1	-1	-1	0	0	0	0	-1	0	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	0	-1	-1	0	-1	0
-1	-1	0	0	0	0	-1	0	-1	-1	-2	0	0	0	-1	-1	-1	-1	0	0	-1	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1	0	-1	-1	0	-1
-2	-1	0	0	-1	-1	-1	-1	0	-1	0	-2	-1	0	-1	0	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	-1	-1	0	0
0	0	0	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	0	-1	-1	0	0	0	-1	-1	-1	0	-1	-1	0	-1	-1	-1	0	-1	0	1	-1	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	0	0	0	-1
-1	1	-1	0	0	-1	0	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	-1	0	-1	0	-1	0	0	0	0	-1	0	0	0	-1	0	-1	-1	-1	0	-2	-1	-1	0	0	0	0
-1	-1	-1	0	0	-1	1	-1	-1	0	-1	0	0	-1	0	-1	0	0	0	-1	0	-1	0	-1	-1	0	-1	-1	-1	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	-1	-1	0	0
0	0	-1	-1	0	-2	-1	0	-1	0	0	-1	0	0	0	-1	0	0	0	-1	-1	-1	0	-1	-1	0	0	-1	0	-1	-2	-1	-1	0	0	-1	0	0	-2	-1	-1	-1	-1	-1	0	-1	0	-1	0	-1
-1	0	0	-1	0	0	-1	-1	0	0	-1	0	0	0	-2	0	-1	0	0	0	0	0	-1	0	-1	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	0	-1	0	0	-1	0	-1	-1	0
-1	0	0	-1	0	0	0	0	0	0	-1	-1	-1	-1	0	0	0	0	-1	-1	0	-1	0	0	-1	0	-1	-1	0	-1	-1	-1	-1	0	0	0	0	0	-1	-1	0	-2	0	0	-1	-1	0	0	0	0
0	0	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	-1	0	0	-1	0	-1	0	-1	0	0	-1	0	-1	-1	-1	-1	0	-1	-1	0	0	-1	0	0	0	0	-1	0	-1	-1	0	0	-1	-1
-1	-1	0	-1	0	0	0	-1	1	0	-1	-1	0	0	-1	0	0	-1	0	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	0	1	-1	-1	-1	0	-1	0	1	0	0	-1	0	-1	-1	-1	-1	-1	-1
-1	0	-1	0	0	-1	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	0	-1	0	0	-1	-1	0	0	-1	0	-1	-1	0	0	-1	-1	0	0	-1	-2	0	0	-1	0	0	0	0
0	-1	-1	-1	0	0	-1	1	0	0	0	0	-1	-1	-1	0	-1	0	0	-1	-1	-1	0	0	0	0	0	0	-1	-1	0	-1	-1	-1	0	0	-1	0	-1	-1	-2	-1	-1	-1	0	0	0	0	0	-1
-1	-1	0	-1	0	0	-1	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	1	-1	0	0	-1	0	0	0	-1	0	-1	-1	0	0	0	1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1
-1	-1	-1	0	0	0	-1	0	0	-1	0	0	0	-1	-1	0	0	0	0	1	-1	0	-1	-1	-1	-1	0	0	-1	-1	0	-2	-1	-1	-1	-1	-1	-1	0	-1	0	-2	-1	-1	0	0	0	-1	0	0
-1	0	0	0	0	-1	-1	0	-1	-1	1	-1	0	-1	0	0	0	-1	0	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	1	-1	0	0	0
-1	0	0	-1	-1	-1	0	-1	-1	-1	-1	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	-1	0	-1	-1	0	-1	-1	0	-1	-1	-1	-1	0	-1	0	0	-1	-1	-1	0	0	0	0	-1	0
0	0	-1	-1	0	-1	-1	0	-1	0	-1	0	-1	-2	-1	0	0	0	-1	-1	-1	-1	-1	-1	0	-2	0	-1	-1	-1	-1	1	0	-1	-1	1	0	-1	0	0	-1	0	-1	0	-1	0	-1	0	-1	0
0	0	-1	0	0	0	0	0	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	0	-1	0	-1	-1	0	0	-2	0	0	0	-1	-1	0	0	0	0	-2	-1	-1	-1	0	0	-1	0	0	-1	0	-1	-1	0
-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	-1	1	0	-1	-1	0	0	-1	-1	-1	-1	0	0	0	0	-1	0	0	0	-1	-1	0	0	-1
-1	-1	0	0	0	-1	0	0	0	-1	-1	-1	-1	0	-1	-1	-1	0	-1	0	0	-1	0	0	-1	-1	0	0	0	-1	-1	0	-1	-2	-1	-1	1	0	-1	0	0	-1	-1	0	-1	0	-1	0	0	0
0	-1	-1	0	-1	-1	0	-1	-2	-1	0	-1	-1	-1	-1	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	-1	0	-1	0	-1	-1	0	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	-1
