3
M
3 3
1 0 1
0 1 0
1 0 1
M
10 10
0 0 0 0 0 1 1 1 1 1
0 1 0 1 0 1 0 1 0 1
0 1 1 0 1 1 0 1 1 0
0 0 0 0 1 0 0 0 0 1
0 0 0 1 0 0 0 1 0 0
1 0 1 0 1 0 1 0 1 0
1 0 0 1 0 0 1 0 0 1
1 1 1 1 1 1 1 1 1 1
1 1 0 1 1 0 1 1 0 0
9 9 9 9 9 9 9 9 9 9
M
30 30
797	814	831	848	865	882	899	1	18	35	52	69	86	103	120	572	589	606	623	640	657	674	451	468	260	277	294	311	328	345
813	830	847	864	881	898	690	17	34	51	68	85	102	119	121	588	605	622	639	656	673	465	467	484	276	293	310	327	344	346
829	846	863	880	897	689	691	33	50	67	84	101	118	135	137	604	621	638	655	672	464	466	483	500	292	309	326	343	360	362
845	862	879	896	688	705	707	49	66	83	100	117	134	136	153	620	637	654	671	463	480	482	499	516	308	325	342	359	361	378
861	878	895	687	704	706	723	65	82	99	116	133	150	152	169	636	653	670	462	479	481	498	515	532	324	341	358	375	377	394
877	894	686	703	720	722	739	81	98	115	132	149	151	168	185	652	669	461	478	495	497	514	531	548	340	357	374	376	393	410
893	685	702	719	721	738	755	97	114	131	148	165	167	184	201	668	460	477	494	496	513	530	547	564	356	373	390	392	409	426
9	701	718	735	737	754	771	788	130	147	164	166	183	200	217	459	476	493	510	512	529	546	563	580	372	389	391	408	425	442
700	717	734	736	753	770	787	129	146	163	180	182	199	216	8	475	492	509	511	528	545	562	579	596	388	405	407	424	441	233
716	733	750	752	769	786	803	145	162	179	181	198	215	7	24	491	508	525	527	544	561	578	595	612	404	406	423	440	232	249
732	749	751	768	785	802	819	161	178	195	197	214	6	23	40	507	524	526	543	560	577	594	611	628	420	422	439	231	248	265
748	765	767	784	801	818	835	177	194	196	213	5	22	39	56	523	540	542	559	576	593	610	627	644	421	438	230	247	264	281
764	766	783	800	817	834	851	193	210	212	4	21	38	55	72	539	541	558	575	592	609	626	643	660	437	229	246	263	280	297
780	782	799	816	833	850	867	209	211	3	20	37	54	71	88	555	557	574	591	608	625	642	659	661	228	245	262	279	296	313
781	798	815	832	849	866	883	225	2	19	36	53	70	87	104	556	573	590	607	624	641	658	675	452	244	261	278	295	312	329
122	139	156	173	190	207	224	676	693	710	727	744	761	778	795	347	364	381	398	415	432	449	226	243	485	502	519	536	553	570
138	155	172	189	206	223	15	692	709	726	743	760	777	794	796	363	380	397	414	431	448	240	242	259	501	518	535	552	569	571
154	171	188	205	222	14	16	708	725	742	759	776	793	810	812	379	396	413	430	447	239	241	258	275	517	534	551	568	585	587
170	187	204	221	13	30	32	724	741	758	775	792	809	811	828	395	412	429	446	238	255	257	274	291	533	550	567	584	586	603
186	203	220	12	29	31	48	740	757	774	791	808	825	827	844	411	428	445	237	254	256	273	290	307	549	566	583	600	602	619
202	219	11	28	45	47	64	756	773	790	807	824	826	843	860	427	444	236	253	270	272	289	306	323	565	582	599	601	618	635
218	10	27	44	46	63	80	772	789	806	823	840	842	859	876	443	235	252	269	271	288	305	322	339	581	598	615	617	634	651
684	26	43	60	62	79	96	113	805	822	839	841	858	875	892	234	251	268	285	287	304	321	338	355	597	614	616	633	650	667
25	42	59	61	78	95	112	804	821	838	855	857	874	891	683	250	267	284	286	303	320	337	354	371	613	630	632	649	666	458
41	58	75	77	94	111	128	820	837	854	856	873	890	682	699	266	283	300	302	319	336	353	370	387	629	631	648	665	457	474
57	74	76	93	110	127	144	836	853	870	872	889	681	698	715	282	299	301	318	335	352	369	386	403	645	647	664	456	473	490
73	90	92	109	126	143	160	852	869	871	888	680	697	714	731	298	315	317	334	351	368	385	402	419	646	663	455	472	489	506
89	91	108	125	142	159	176	868	885	887	679	696	713	730	747	314	316	333	350	367	384	401	418	435	662	454	471	488	505	522
105	107	124	141	158	175	192	884	886	678	695	712	729	746	763	330	332	349	366	383	400	417	434	436	453	470	487	504	521	538
106	123	140	157	174	191	208	900	677	694	711	728	745	762	779	331	348	365	382	399	416	433	450	227	469	486	503	520	537	554
