6
M
3 3
31   -93    70
-63    -2   -11
29    42    51
M
3 3
87    36    52
-45    36    31
-68   -77     0
M
20 20
-48    31    38    50   -10   -84   -54    83   -70    65     8   100   -85   -12   -79    93  -100    55    64    74   
-84   -20   -48    60   -14    83   -64   -47   -71   -73    74    16    10   -71    71    25   -30     3   -20   -85   
-52   -76   -64   -52   -17   -91    81    89    -2    -2   -33    80   -26   -78    56   -22   -52   -19   -81   -74    
89    92    15   -88   -53   -30    65   -97   -92   -67    30    47    30   -10     9   -41    49   -63    38   -64   
-26    25    56   -84    86    55    -3   -13   -11   -39     2     2    64    59    29   -24    63     7   -30    88    
76    10    25    17   -59   -40    -6   -54    69   -61   -55   -66   -55   -13   -38    85   -14   -63    81    96   
-12   -78   -49   -18    19   -48    21    42   -56   -77   -41   -36   -15     2   -83   -48    61   -95    86    46    
-2    16   -53    -8    93     9     4   -54    -2    25    36   -21   -27    98   -93    77    83    60   -81   -48   
-33    36   -73    44   -79    31    -1    56    43    81    79   -33    40   -61   -94    49     0    -4    81    22    
24    72    61    15   -64   -52    78   -95    -2   -67    96    43     0    -6   -89    37   -92   -86     4   -81    
64    64    45   -70    32     4    95    30    60    -9   -14    65   -84   -74   -66   -22    67    61   -88   -20     
5   -17    32    26   -42   -14   -97    97   -67   -79   -26   -61    -2   -32    91    84   -90    48   -46   -16    
10    89   -17    97   -40    40    33     8    40    33   -65   -75   100   -66   -94    12    77    34   -62   -26    
-8    97   -69    71    29   -25   -62   -14    -4   -76    18   -55   -23    17   -50   -42    24   -47    65    97    
46   -31    17   -79    82    76    64   -48    19   -96   -15   -38   -68   -65   -15   -82    20    -6    39    40    
28   -94   -87   -36     6    31   -19    64    44    94     6   -35   -79    22    56   -15   -82   -47   -70   -44   
-12     5    -9    75     4    89    28    92   -52    35   -42    35    39   -87   -49   -55    34    69   -31    56    
35   -99    21   -23    84  -100    -8   -15    -8    54   -36    57    -6   -93   -65    45    -5   -70   -32    22   
-62    48   -52    84   -46    53   -63   -43   -82    15    37     9   -15    29    30    36    27    89   -59    42   
-53   -77    22   -10    -8    33    54   -30    33   -17    69    67   -49    23    17     8    74   -47   -37   -77
M
20 20
88	29	-4	28	9	30	9	44	5	99	-57	-79	-78	-88	-19	-10	-27	53	26	55	
87	95	-62	-73	39	-82	5	6	73	-3	-21	34	48	4	-31	-70	17	-48	-92	51	
-52	-12	38	-28	48	-21	37	41	-12	-97	-34	-15	-46	-61	65	-14	78	-22	54	-21	
62	51	-25	-57	58	90	-35	34	-12	67	54	-67	73	98	3	77	18	-69	-60	-19	
50	65	58	-36	7	-82	-78	-73	36	-1	-62	-1	-71	-89	70	12	86	40	17	63	
76	98	-100	73	23	98	6	-4	61	-55	0	81	15	69	48	17	-51	33	-84	25	
32	46	79	97	54	16	86	16	-97	-76	73	-3	69	-58	11	26	-94	23	-28	-91	
-2	-62	-76	-59	-71	-62	-92	27	-44	8	39	0	7	-11	-76	-2	71	75	-46	-59	
13	28	-17	-59	90	-84	-79	-72	-67	24	15	-90	87	46	48	-88	72	87	97	72	
57	3	-65	-20	-74	-94	88	-40	-41	-34	-7	30	-95	69	12	71	-31	-11	-90	-65	
33	-34	80	-77	98	8	42	100	-43	-17	-7	53	64	-80	-65	-28	-89	4	-33	-65	
-59	81	35	-6	83	-80	49	47	12	-63	20	-40	-74	-58	79	-86	-52	-90	-12	-98	
80	-61	-82	-39	-9	-80	100	-34	-41	-88	-41	-91	1	53	26	-82	-84	56	81	7	
-79	65	-33	-41	50	-98	-91	34	21	5	46	42	57	-43	39	11	-21	-88	56	-33	
22	48	-79	-75	10	-3	78	60	47	-90	-86	-83	60	89	37	-74	45	-78	-77	28	
-34	31	50	17	48	-53	47	95	74	-83	-27	-26	37	20	58	-27	-59	-83	55	-59	
-22	10	-54	29	-3	-70	57	-80	-41	-53	6	-82	-19	-79	-78	57	-42	21	93	-14	
39	52	-14	31	-78	87	-63	-47	60	-2	54	-21	-46	-93	35	-14	-10	22	-89	-37	
55	39	-75	-74	-82	-99	-15	31	45	6	-79	26	-75	-74	-81	-72	-67	-61	-37	-37	
-57	-50	79	41	11	-63	-58	-85	83	42	12	-38	-67	25	98	-66	-49	-21	-86	37
M
50 50
-20	97	-20	24	-69	-24	-68	52	75	-30	37	-41	6	67	20	-33	-40	-10	-16	-28	12	49	-15	-14	-75	-96	-42	-37	31	92	88	-8	-52	53	52	48	49	-79	36	-7	-58	-81	65	-65	-68	33	79	3	41	-70	
91	8	36	-93	62	50	-76	5	-35	9	-20	-17	-64	-49	-96	85	31	87	-68	85	59	16	-12	-49	51	-55	-88	54	34	43	29	-16	-22	64	-37	63	58	71	1	27	91	-11	-88	74	26	-29	100	-55	31	21	
-23	-72	-95	-16	-63	45	-26	69	47	14	-65	92	-47	85	-56	-25	-83	28	-64	-91	45	-31	32	-23	26	-96	83	60	49	63	-23	24	15	6	-45	-51	-10	-55	61	98	-94	7	-83	61	98	-87	88	-97	37	57	
7	77	80	25	-73	-57	-64	-92	-79	23	88	-29	-18	97	90	36	98	54	-33	33	-51	-41	36	6	-18	21	50	17	10	17	2	-84	44	100	-29	95	-31	78	-9	-17	-57	-75	-38	45	57	39	-99	69	85	54	
-92	-24	41	46	-55	-46	35	-5	25	-53	-65	66	54	87	-79	-64	-81	-2	-62	80	-81	-92	12	55	-38	-65	-32	-58	2	82	26	-80	-22	-90	0	-14	100	63	-3	79	-73	-22	86	84	43	24	-31	88	-75	46	
29	67	-20	50	67	-36	11	96	10	-34	24	-28	52	-17	-2	39	95	-35	68	48	91	-94	-29	33	-44	-54	42	25	18	32	-91	-30	-10	-52	43	72	-44	46	-73	68	-73	18	-27	62	1	-2	76	-30	-10	93	
-92	95	-62	34	17	35	-28	24	63	-97	-84	95	30	-54	-19	-76	-47	-49	-34	-70	-31	-76	77	-82	86	-20	-91	-32	47	59	9	37	79	-89	-39	-91	-61	44	45	76	17	-86	85	60	-43	9	97	43	68	-13	
-6	12	-46	50	1	30	-39	-73	-5	-28	58	56	34	-74	-96	12	-40	88	97	-43	60	80	20	77	89	10	46	15	-95	-11	29	4	-26	88	66	70	-26	19	75	87	34	-59	31	-86	-19	34	87	63	-3	52	
-17	95	98	73	-22	-9	-51	57	77	83	12	20	-71	80	-10	-59	80	53	77	-43	35	33	-76	-19	-45	44	-44	80	66	-22	0	39	67	22	15	-35	-9	43	77	44	-97	35	-12	-12	-77	63	-35	-51	-32	-25	
9	12	-21	-20	3	32	91	45	-20	67	-73	-88	-84	-68	-35	-40	-98	8	-81	-71	26	72	95	14	100	11	3	-34	-14	-2	-86	78	-88	-13	66	-21	23	64	78	87	-62	-49	80	19	1	23	64	6	-60	-9	
-14	94	24	39	44	-31	3	11	-69	12	39	-15	68	47	-28	-9	-23	55	47	-14	39	89	57	41	-79	-22	18	-8	-90	-55	67	-97	73	-85	34	0	-57	14	-76	34	20	-89	-89	-70	-97	-13	67	24	4	73	
-81	82	-79	3	-72	12	-100	54	70	84	98	1	-46	-80	2	17	53	-84	32	3	-66	88	18	-12	89	31	-10	68	7	11	36	-27	-52	16	74	-19	-78	-11	-40	-20	67	-19	-22	-28	-72	-48	-83	-14	-49	-41	
-15	-77	-1	41	-52	57	-86	-21	-100	-56	-100	-62	-72	-47	-65	-73	20	81	88	-56	-3	-25	5	-47	-87	-13	-66	-95	91	-14	93	53	-99	36	41	29	11	-57	55	-55	-26	79	72	-20	-37	22	82	82	18	-34	
71	-12	81	-94	7	44	-64	-33	-63	-36	-19	10	-91	11	-45	-52	-52	-70	92	88	64	46	-65	-28	-63	-100	-37	40	25	9	-12	-43	0	53	53	15	50	29	-76	1	-31	-82	-71	-61	35	-14	39	-49	-99	6	
-44	90	82	-22	-96	34	68	95	-89	-10	17	38	44	30	46	-25	16	-77	-89	96	-43	19	93	-63	-62	-32	87	-22	-46	-70	-21	-25	-74	-13	-82	23	-98	15	58	-53	-10	14	-88	-1	29	-56	68	95	70	1	
-44	50	-53	92	24	20	-66	-82	-49	72	83	40	45	-54	15	62	-19	98	-82	-36	2	-88	45	11	6	66	72	58	-37	-10	51	-78	-78	-46	5	95	42	-38	-42	70	83	28	-49	-83	68	17	90	-88	17	-43	
66	-62	-12	-21	66	36	-59	-37	-74	34	14	-66	-71	-5	82	10	-94	-90	61	-10	-24	58	-27	7	43	75	-34	30	95	-85	17	-17	-38	-47	52	100	-63	57	-61	99	61	-15	46	0	62	-29	-86	18	82	-62	
